seg,start,end,slot_s,gap_after_s,est_speech_s,headroom_s,speedup_x,chars,text
26,95.98,99.12,3.14,0.00,1.89,1.25,1.000,30,The picture at the bottom left
27,99.12,100.68,1.56,0.00,0.88,0.68,1.000,14,is a torpedo —
28,100.68,107.78,7.10,0.00,1.77,5.33,1.000,28,a Mk 48 heavyweight torpedo.
29,107.78,113.04,5.26,0.00,2.90,2.36,1.000,46,"You might still remember, in the Indian Ocean,"
30,113.04,118.32,5.28,0.00,4.29,0.99,1.000,68,an Iranian frigate that had just finished joint exercises with India
31,118.32,123.50,5.18,0.00,3.85,1.33,1.000,61,was returning to Iran when a U.S. submarine sank it en route.
32,123.50,127.72,4.22,0.00,4.60,-0.38,1.091,73,"That frigate wasn't a major warship, and it wasn't particularly advanced."
33,127.72,130.56,2.84,0.00,3.03,-0.19,1.066,48,A missile would have been enough to take it out.
34,130.56,135.60,5.04,0.00,4.04,1.00,1.000,64,"With a missile, you'd at least give the crew a chance to escape."
35,135.60,138.28,2.68,0.00,2.65,0.03,1.000,42,But they actually used this heavy torpedo.
36,138.28,141.36,3.08,0.00,2.33,0.75,1.000,37,You can find the footage on YouTube —
37,141.36,143.36,2.00,0.00,1.83,0.17,1.000,29,the ship went down very fast.
38,143.36,146.74,3.38,0.00,2.77,0.61,1.000,44,"By the time Sri Lanka's old vessels arrived,"
39,146.74,148.74,2.00,0.00,1.64,0.36,1.000,26,the ship had already sunk.
40,148.74,156.10,7.36,0.00,2.77,4.59,1.000,44,So why use a heavyweight torpedo against it?
41,156.10,159.54,3.44,0.00,3.53,-0.09,1.026,56,The story is that on board the U.S. submarine that day —
42,159.54,162.44,2.90,0.00,1.58,1.32,1.000,25,a Los Angeles-class sub —
43,162.44,167.56,5.12,0.00,3.85,1.27,1.000,61,there were two Australian naval officers undergoing training.
44,167.56,172.06,4.50,0.00,3.78,0.72,1.000,60,"You know, Australia bought nuclear submarines from the U.S.,"
45,172.06,175.10,3.04,0.00,2.27,0.77,1.000,36,"and in doing so, they tacitly agreed"
46,175.10,177.86,2.76,0.00,4.16,-1.40,1.508,66,"that if anything happens at the first island chain in the Pacific,"
47,177.86,182.36,4.50,0.00,1.95,2.55,1.000,31,Australia would join the fight.
48,182.36,185.36,3.00,0.00,2.14,0.86,1.000,34,"So inside that submarine that day,"
49,185.36,190.68,5.32,0.00,2.71,2.61,1.000,43,it was effectively combat training as well.
50,190.68,194.44,3.76,0.00,2.65,1.11,1.000,42,"And next to that, another impressive one —"
51,194.44,196.82,2.38,0.00,1.89,0.49,1.000,30,it's called the graphite bomb.
52,196.82,202.72,5.90,0.00,3.22,2.68,1.000,51,They threatened to bomb Iran's power plant with it.
53,202.72,207.68,4.96,0.00,3.03,1.93,1.000,48,Notice — it's not a weapon that harms civilians.
54,207.68,210.24,2.56,0.00,2.27,0.29,1.000,36,Because they noticed one phenomenon:
55,210.24,214.44,4.20,0.00,3.28,0.92,1.000,52,"in some rural areas, in places with very few people,"
56,214.44,216.44,2.00,0.00,2.77,-0.77,1.387,44,the electricity usage was surprisingly high.
57,216.44,219.62,3.18,0.00,3.66,-0.48,1.150,58,"That usually means there are nuclear facilities behind it,"
58,219.62,221.86,2.24,0.00,2.02,0.22,1.000,32,or maybe military installations.
59,221.86,224.08,2.22,0.00,1.26,0.96,1.000,20,So the U.S. demand —
60,224.08,227.60,3.52,0.00,2.40,1.12,1.000,38,their threat to bomb the power plant —
61,227.60,230.48,2.88,0.00,4.04,-1.16,1.401,64,"but if you actually destroyed the plant, that would be terrible:"
62,230.48,232.36,1.88,0.00,2.90,-1.02,1.543,46,it would affect many people and civilian life.
63,232.36,234.24,1.88,0.00,1.89,-0.01,1.006,30,So what is this graphite bomb?
64,234.24,236.44,2.20,0.00,1.58,0.62,1.000,25,"The moment it's deployed,"
65,236.44,240.68,4.24,0.00,3.15,1.09,1.000,50,"the graphite itself causes massive short-circuits,"
66,240.68,242.38,1.70,0.00,2.27,-0.57,1.335,36,which knocks out power transmission.
67,242.38,246.38,4.00,0.00,3.47,0.53,1.000,55,But the power plant itself and the generating equipment
68,246.38,248.18,1.80,0.00,1.13,0.67,1.000,18,are not destroyed.
69,248.18,252.02,3.84,0.00,2.27,1.57,1.000,36,You can see — isn't that remarkable?
70,252.02,255.60,3.58,0.00,2.33,1.25,1.000,37,Actually these warfare technologies —
71,255.60,258.68,3.08,0.00,1.89,1.19,1.000,30,"take U.S. drones, for example."
72,258.68,260.22,1.54,0.00,1.01,0.53,1.000,16,The Lucas drone.
73,260.22,263.02,2.80,0.00,3.34,-0.54,1.193,53,"Then there are unmanned speedboats, unmanned vessels."
74,263.02,267.38,4.36,0.00,3.72,0.64,1.000,59,In the lower-left corner you can see one called Starshield.
75,267.38,270.20,2.82,0.00,1.51,1.31,1.000,24,That's also from SpaceX.
76,270.20,272.76,2.56,0.00,1.83,0.73,1.000,29,Starlink is for civilian use.
77,272.76,275.58,2.82,0.00,1.95,0.87,1.000,31,Starshield is for military use.
78,275.58,278.84,3.26,0.00,3.28,-0.02,1.006,52,"So if you take apart the nose cones of those drones,"
79,278.84,281.18,2.34,0.00,1.83,0.51,1.000,29,"you'll find receivers inside,"
80,281.18,284.40,3.22,0.00,2.84,0.38,1.000,45,and those tap into Starshield for navigation.
81,284.40,288.26,3.86,0.00,1.89,1.97,1.000,30,"And in the upper-right corner,"
82,288.26,293.08,4.82,0.00,1.70,3.12,1.000,27,that one is a laser cannon.
83,293.08,296.86,3.78,0.00,1.77,2.01,1.000,28,"Actually, since around 2023,"
84,296.86,300.62,3.76,0.00,4.54,-0.78,1.207,72,one thing that's become very popular is the so-called saturation attack.
85,300.62,305.04,4.42,0.00,2.84,1.58,1.000,45,"You use cheap weapons — drones, for instance,"
86,305.04,308.02,2.98,0.00,1.83,1.15,1.000,29,or some inexpensive missiles.
87,308.02,310.42,2.40,0.00,1.32,1.08,1.000,21,And here's the thing:
88,310.42,314.20,3.78,0.00,3.78,-0.00,1.001,60,the missiles used to shoot them down are far more expensive.
89,314.20,317.00,2.80,0.00,2.65,0.15,1.000,42,You've probably heard the 1-to-100 ratio —
90,317.00,319.96,2.96,0.00,2.77,0.19,1.000,44,meaning the value of one interceptor missile
91,319.96,322.00,2.04,0.00,1.95,0.09,1.000,31,is 100 times that of one drone.
92,322.00,324.90,2.90,0.00,2.46,0.44,1.000,39,"So while the enemy is spending pennies,"
93,324.90,326.82,1.92,0.00,1.70,0.22,1.000,27,you're getting drained dry.
94,326.82,328.02,1.20,0.00,1.01,0.19,1.000,16,So you can see —
95,328.02,333.62,5.60,0.00,3.78,1.82,1.000,60,"in this conflict, you're seeing a lot of very cheap weapons."
96,333.62,340.62,7.00,0.00,1.58,5.42,1.000,25,"Looking at these weapons,"
97,340.62,345.58,4.96,0.00,2.84,2.12,1.000,45,you can see the technology is quite advanced.
98,345.58,349.34,3.76,0.00,3.28,0.48,1.000,52,Someone once said: every weapon humans have invented
99,349.34,353.66,4.32,0.00,2.90,1.42,1.000,46,has eventually been deployed on a battlefield.
100,353.66,356.92,3.26,0.00,2.71,0.55,1.000,43,"And in fact, throughout the history of war,"
101,356.92,359.60,2.68,0.00,2.21,0.47,1.000,35,weapons have gone through several —
102,359.60,362.52,2.92,0.00,2.46,0.46,1.000,39,"three major revolutions, you could say."
103,362.52,366.52,4.00,0.00,3.03,0.97,1.000,48,Let me walk through them as a kind of framework.
104,366.52,369.48,2.96,0.00,2.52,0.44,1.000,40,"If someone asked you, in all of history,"
105,369.48,373.96,4.48,0.00,1.89,2.59,1.000,30,which was the greatest empire?
106,373.96,376.40,2.44,0.00,3.34,-0.90,1.369,53,You might say the Mongol Empire — and you'd be right.
107,376.40,379.74,3.34,0.00,2.71,0.63,1.000,43,"Because across the vast expanse of Eurasia,"
108,379.74,383.32,3.58,0.00,4.41,-0.83,1.233,70,the Mongol Empire stretched across an enormous swath of the continent.
109,383.32,386.82,3.50,0.00,1.77,1.73,1.000,28,Why were they so formidable?
110,386.82,391.58,4.76,0.00,3.09,1.67,1.000,49,The Mongols' greatest strength was their cavalry.
111,391.58,393.54,1.96,0.00,1.64,0.32,1.000,26,I think in this painting —
112,393.54,394.66,1.12,0.00,1.51,-0.39,1.351,24,"when I found this image,"
113,394.66,396.66,2.00,0.00,2.33,-0.33,1.166,37,I felt that the person who painted it
114,396.66,398.84,2.18,0.00,2.33,-0.15,1.070,37,really understood the Mongol cavalry.
115,398.84,399.84,1.00,0.00,0.25,0.75,1.000,4,Why?
116,399.84,404.72,4.88,0.00,3.78,1.10,1.000,60,Because one of the Mongols' deadliest assets was their bow —
117,404.72,406.72,2.00,0.00,1.45,0.55,1.000,23,the famous recurve bow.
118,406.72,410.06,3.34,0.00,2.02,1.32,1.000,32,See how both ends curve outward?
119,410.06,414.14,4.08,0.00,2.46,1.62,1.000,39,"Compared with bows of the 13th century,"
120,414.14,415.64,1.50,0.00,2.58,-1.08,1.723,41,it was three or four times more powerful.
121,415.64,419.16,3.52,0.00,2.33,1.19,1.000,37,At close range it could pierce armor.
122,419.16,421.84,2.68,0.00,2.02,0.66,1.000,32,The other thing was the stirrup.
123,421.84,426.12,4.28,0.00,3.47,0.81,1.000,55,The foothold you step into when mounting — the stirrup.
124,426.12,429.02,2.90,0.00,2.40,0.50,1.000,38,"The Mongols didn't invent the stirrup,"
125,429.02,433.88,4.86,0.00,2.33,2.53,1.000,37,but they pushed its use to the limit.
126,433.88,436.54,2.66,0.00,1.77,0.89,1.000,28,"Why? Because of the stirrup,"
127,436.54,439.96,3.42,0.00,2.21,1.21,1.000,35,"the rider could stand on his horse,"
128,439.96,443.38,3.42,0.00,2.46,0.96,1.000,39,"and shoot arrows in a full 360 degrees,"
129,443.38,449.88,6.50,0.00,3.59,2.91,1.000,57,"dominating his opponent. Combined with that powerful bow,"
130,449.88,453.38,3.50,0.00,3.22,0.28,1.000,51,they had a famous tactic called the Parthian shot —
131,453.38,456.54,3.16,0.00,3.78,-0.62,1.197,60,"the moment you thought they were retreating and chased them,"
132,456.54,462.52,5.98,0.00,2.71,3.27,1.000,43,they'd turn around and put an arrow in you.
133,462.52,465.56,3.04,0.00,1.89,1.15,1.000,30,That's why in the 13th century
134,465.56,469.56,4.00,0.00,4.41,-0.41,1.103,70,the Mongols swept across everything — no one could stand against them.
135,469.56,477.20,7.64,0.00,2.58,5.06,1.000,41,So what was the first weapons revolution?
136,477.20,481.84,4.64,0.00,3.40,1.24,1.000,54,It was gunpowder — applying gunpowder to military use.
137,481.84,489.38,7.54,0.00,2.65,4.89,1.000,42,"That gave us firearms, and also artillery."
138,489.38,492.32,2.94,0.00,3.28,-0.34,1.115,52,"So if someone asks you which was the largest empire,"
139,492.32,497.66,5.34,0.00,2.33,3.01,1.000,37,"by sheer area, it wasn't the Mongols."
140,497.66,500.10,2.44,0.00,2.40,0.04,1.000,38,By area — and you know this one well —
141,500.10,503.68,3.58,0.00,4.10,-0.52,1.145,65,it was the empire on which the sun never set: the British Empire.
142,503.68,505.78,2.10,0.00,0.69,1.41,1.000,11,"In history,"
143,505.78,510.20,4.42,0.00,3.15,1.27,1.000,50,"by total area, the British Empire was the largest."
144,510.20,512.50,2.30,0.00,1.83,0.47,1.000,29,That was the first revolution
145,512.50,519.30,6.80,0.00,1.64,5.16,1.000,26,in warfare and in weapons.
146,519.30,523.70,4.40,0.00,2.71,1.69,1.000,43,"If someone says to you ""rare, medium-rare,"""
147,523.70,527.02,3.32,0.00,2.27,1.05,1.000,36,"or ""well done"" — what comes to mind?"
148,527.02,530.64,3.62,0.00,3.97,-0.35,1.097,63,You'd probably think someone's teaching you how to grill steak.
149,530.64,532.52,1.88,0.00,2.46,-0.58,1.308,39,"But actually, this is military jargon —"
150,532.52,535.06,2.54,0.00,1.07,1.47,1.000,17,a technical term.
151,535.06,539.06,4.00,0.00,3.72,0.28,1.000,59,"It refers to one major country — namely, the United States."
152,539.06,541.94,2.88,0.00,2.71,0.17,1.000,43,"If the U.S. ever came under nuclear attack,"
153,541.94,545.46,3.52,0.00,2.77,0.75,1.000,44,these are the response options on the table.
154,545.46,549.70,4.24,0.00,2.02,2.22,1.000,32,"Rare, medium-rare, or well done?"
155,549.70,556.16,6.46,0.00,3.97,2.49,1.000,63,What they're really talking about isn't steak — it's the Earth.
156,556.16,559.60,3.44,0.00,2.33,1.11,1.000,37,"So if you're hit by a nuclear strike,"
157,559.60,562.82,3.22,0.00,3.15,0.07,1.000,50,what's the response? Mutually assured destruction?
158,562.82,568.14,5.32,0.00,1.77,3.55,1.000,28,Or some other kind of reply?
159,568.14,572.54,4.40,0.00,2.71,1.69,1.000,43,So the second revolution in weapons history
160,572.54,577.06,4.52,0.00,2.40,2.12,1.000,38,was the invention of the nuclear bomb.
161,577.06,579.68,2.62,0.00,2.27,0.35,1.000,36,"After the nuclear bomb was invented,"
162,579.68,584.06,4.38,0.00,3.03,1.35,1.000,48,it wasn't long before two were dropped on Japan.
163,584.06,588.58,4.52,0.00,3.59,0.93,1.000,57,And America has remained extremely powerful — even today.
164,588.58,594.76,6.18,0.00,2.90,3.28,1.000,46,Nuclear weapons have two distinctive features.
165,594.76,598.84,4.08,0.00,1.83,2.25,1.000,29,"First, you need nuclear fuel."
166,598.84,602.52,3.68,0.00,3.40,0.28,1.000,54,And that nuclear fuel is fundamentally hard to obtain.
167,602.52,607.64,5.12,0.00,4.35,0.77,1.000,69,"For instance, Iran today desperately wants to become a nuclear power."
168,607.64,613.70,6.06,0.00,3.09,2.97,1.000,49,But refining and obtaining that fuel is not easy.
169,613.70,618.26,4.56,0.00,4.73,-0.17,1.037,75,"On top of that, there's the international Nuclear Non-Proliferation Treaty."
170,618.26,621.60,3.34,0.00,1.39,1.95,1.000,22,"So from 1945 to today,"
171,621.60,626.12,4.52,0.00,2.77,1.75,1.000,44,only ten countries possess nuclear weapons —
172,626.12,628.74,2.62,0.00,1.77,0.85,1.000,28,"that is, nuclear capability."
173,628.74,632.62,3.88,0.00,2.46,1.42,1.000,39,One thing to note: the last two added —
174,632.62,636.26,3.64,0.00,3.66,-0.02,1.005,58,I've marked their dates here. I don't know if you can see.
175,636.26,639.18,2.92,0.00,3.09,-0.17,1.058,49,The last two countries to join the nuclear club —
176,639.18,642.70,3.52,0.00,2.52,1.00,1.000,40,"the latest one was North Korea, in 2006."
177,642.70,647.30,4.60,0.00,2.33,2.27,1.000,37,And the one before that was Pakistan.
178,647.30,650.70,3.40,0.00,1.89,1.51,1.000,30,"Today's gathering has a theme,"
179,650.70,653.02,2.32,0.00,2.14,0.18,1.000,34,"and it's called ""machine killers,"""
180,653.02,655.02,2.00,0.00,1.20,0.80,1.000,19,"or ""killer robots."""
181,655.02,657.62,2.60,0.00,1.45,1.15,1.000,23,Robots in everyday life
182,657.62,660.30,2.68,0.00,2.77,-0.09,1.035,44,are already affecting everyone in many ways.
183,660.30,665.26,4.96,0.00,3.22,1.74,1.000,51,"For example, here, in the upper-left, that's Waymo."
184,665.26,667.10,1.84,0.00,2.58,-0.74,1.405,41,Have any of you ridden in one over there?
185,667.10,669.30,2.20,0.00,1.77,0.43,1.000,28,"In LA downtown, for example,"
186,669.30,671.10,1.80,0.00,1.83,-0.03,1.016,29,you'll see them soon enough —
187,671.10,674.10,3.00,0.00,1.58,1.42,1.000,25,those self-driving taxis.
188,674.10,675.98,1.88,0.00,1.70,0.18,1.000,27,Waymo is easy to recognize:
189,675.98,679.28,3.30,0.00,2.27,1.03,1.000,36,sensors all over the roof and sides.
190,679.28,683.86,4.58,0.00,3.03,1.55,1.000,48,The one next to it — that's like Shake Shack's —
191,683.86,690.24,6.38,0.00,2.46,3.92,1.000,39,robots that deliver documents and food.
192,690.24,693.86,3.62,0.00,2.46,1.16,1.000,39,"Some robots — for example, the Optimus,"
193,693.86,697.86,4.00,0.00,1.07,2.93,1.000,17,which is Tesla's.
194,697.86,699.96,2.10,0.00,2.33,-0.23,1.111,37,There's been recent news in the U.S.:
195,699.96,702.96,3.00,0.00,2.90,0.10,1.000,46,they've started putting it behind the counter.
196,702.96,706.58,3.62,0.00,3.53,0.09,1.000,56,"For instance, there's a place in LA called Diamond Bar —"
197,706.58,709.56,2.98,0.00,2.52,0.46,1.000,40,their City Hall has one of these robots.
198,709.56,711.04,1.48,0.00,1.70,-0.22,1.150,27,You walk up and it asks you
199,711.04,713.10,2.06,0.00,1.64,0.42,1.000,26,what it can help you with.
200,713.10,719.02,5.92,0.00,2.84,3.08,1.000,45,Robots are even helping with law enforcement.
201,719.02,723.56,4.54,0.00,2.14,2.40,1.000,34,A few days ago I saw this vehicle.
202,723.56,726.00,2.44,0.00,3.47,-1.03,1.421,55,I don't know if you've been following this technology —
203,726.00,728.00,2.00,0.00,1.58,0.42,1.000,25,it's called the Cybercab.
204,728.00,731.72,3.72,0.00,1.83,1.89,1.000,29,"Now, Waymo belongs to Google,"
205,731.72,735.30,3.58,0.00,2.14,1.44,1.000,34,and the Cybercab belongs to Tesla.
206,735.30,737.30,2.00,0.00,1.77,0.23,1.000,28,So I have to ask a question:
207,737.30,739.96,2.66,0.00,2.27,0.39,1.000,36,"if there's nothing special about it,"
208,739.96,741.82,1.86,0.00,1.89,-0.03,1.017,30,"it's just a self-driving taxi,"
209,741.82,745.26,3.44,0.00,2.65,0.79,1.000,42,then what's so special about the Cybercab?
210,745.26,746.86,1.60,0.00,1.07,0.53,1.000,17,Have you noticed?
211,746.86,750.76,3.90,0.00,2.40,1.50,1.000,38,I saw one being tested on the street —
212,750.76,753.06,2.30,0.00,1.64,0.66,1.000,26,and here's what's special:
213,753.06,755.90,2.84,2.10,1.58,1.26,1.000,25,it has no steering wheel.
214,758.00,760.30,2.30,0.00,1.32,0.98,1.000,21,And no pedals either.
215,760.30,761.90,1.60,0.00,2.27,-0.67,1.419,36,If you think of the Dragon capsule —
216,761.90,766.90,5.00,0.00,4.67,0.33,1.000,74,SpaceX's spacecraft that takes people to the International Space Station —
217,766.90,768.30,1.40,0.00,1.83,-0.43,1.306,29,it's basically the same idea.
218,768.30,771.00,2.70,0.00,3.03,-0.33,1.121,48,You get on board and there's just a touchscreen.
219,771.00,773.70,2.70,0.00,1.77,0.93,1.000,28,Just a touchscreen in there.
220,773.70,775.30,1.60,0.00,1.58,0.02,1.000,25,No steering wheel at all.
221,775.30,778.00,2.70,2.20,3.59,-0.89,1.331,57,"So if something goes wrong, you wouldn't know what to do."
222,780.20,783.80,3.60,0.00,2.58,1.02,1.000,41,Today we're talking about killer robots —
223,783.80,784.80,1.00,0.00,0.95,0.05,1.000,15,"""Killer Robot."""
224,784.80,787.20,2.40,0.00,2.27,0.13,1.000,36,That's actually the colloquial term.
225,787.20,789.60,2.40,0.00,1.64,0.76,1.000,26,What's the technical name?
226,789.60,794.62,5.02,0.00,2.40,2.62,1.000,38,"It's ""Lethal Autonomous Weapon"" (LAW)."
227,794.62,798.68,4.06,0.00,2.14,1.92,1.000,34,Lethal — and autonomous — weapons.
228,798.68,800.38,1.70,0.00,2.27,-0.57,1.335,36,"As the name suggests, it's a weapon,"
229,800.38,803.28,2.90,0.00,1.77,1.13,1.000,28,but it has two key elements.
230,803.28,807.80,4.52,0.00,2.65,1.87,1.000,42,"First, it's equipped with lethal weaponry."
231,807.80,809.04,1.24,0.00,1.45,-0.21,1.169,23,And the second element?
232,809.04,813.02,3.98,0.00,3.03,0.95,1.000,48,It's autonomous — we'll get to that in a moment.
233,813.02,815.38,2.36,0.00,1.20,1.16,1.000,19,So the killer robot
234,815.38,817.62,2.24,0.00,1.95,0.29,1.000,31,is defined by these two traits:
235,817.62,820.44,2.82,0.00,2.08,0.74,1.000,33,"first, it carries lethal weapons,"
236,820.44,823.44,3.00,1.30,2.08,0.92,1.000,33,"and second, it acts autonomously."
237,824.74,826.64,1.90,0.00,1.07,0.83,1.000,17,"Now in your mind,"
238,826.64,829.32,2.68,0.00,2.21,0.47,1.000,35,what does a killer robot look like?
239,829.32,831.32,2.00,4.40,1.26,0.74,1.000,20,Something like this?
240,835.72,838.72,3.00,0.00,2.08,0.92,1.000,33,"A while back, there were movies —"
241,838.72,843.48,4.76,0.00,2.90,1.86,1.000,46,"Terminator, or Robocop — you've seen the type."
242,843.48,846.40,2.92,0.00,1.64,1.28,1.000,26,But those are all fiction.
243,846.40,849.68,3.28,0.00,2.21,1.07,1.000,35,"Closer to reality, there's Big Dog,"
244,849.68,851.68,2.00,0.00,1.64,0.36,1.000,26,"with a gun mounted on top,"
245,851.68,857.46,5.78,0.00,1.45,4.33,1.000,23,or some tracked robots.
246,857.46,859.46,2.00,0.00,1.70,0.30,1.000,27,"But you might say — no, no."
247,859.46,862.02,2.56,0.00,1.51,1.05,1.000,24,The robots I saw on TV —
248,862.02,866.56,4.54,0.00,3.66,0.88,1.000,58,those killer robots aren't like that. They look like this.
249,866.56,871.70,5.14,0.00,4.10,1.04,1.000,65,"At the Spring Festival Gala recently, I saw these killer robots —"
250,871.70,873.70,2.00,1.50,1.77,0.23,1.000,28,ones that can throw punches.
251,875.20,880.30,5.10,0.00,4.04,1.06,1.000,64,"Actually, humanoid robots may not be the most advantageous form."
252,880.30,885.14,4.84,0.00,3.34,1.50,1.000,53,Because two legs are never going to outrun four legs.
253,885.14,888.90,3.76,0.00,1.77,1.99,1.000,28,"And if the terrain is rough,"
254,888.90,893.60,4.70,1.58,3.85,0.85,1.000,61,I don't think they'd be as stable as tracked vehicles either.
255,895.18,898.18,3.00,0.00,1.32,1.68,1.000,21,"Besides the Iran war,"
256,898.18,901.62,3.44,0.00,5.93,-2.49,1.723,94,there's another war — going on in Eastern Europe — that's been raging for over four years now.
257,901.62,904.26,2.64,0.00,1.89,0.75,1.000,30,That's the Russia-Ukraine war.
258,904.26,908.38,4.12,0.00,2.46,1.66,1.000,39,"Last year, there was a scene like this:"
259,908.38,912.96,4.58,0.00,1.32,3.26,1.000,21,some Russian soldiers
260,912.96,916.40,3.44,0.00,2.58,0.86,1.000,41,"surrendered — they surrendered to a unit,"
261,916.40,918.44,2.04,0.00,2.08,-0.04,1.020,33,but that unit had no human in it.
262,918.44,920.44,2.00,0.00,1.32,0.68,1.000,21,They were all robots.
263,920.44,923.24,2.80,0.00,2.08,0.72,1.000,33,I don't know if you saw the news.
264,923.24,924.78,1.54,0.00,1.26,0.28,1.000,20,I saw it on YouTube.
265,924.78,927.04,2.26,0.00,2.40,-0.14,1.060,38,I'm not sure if you can still find it.
266,927.04,930.12,3.08,0.00,1.95,1.13,1.000,31,Here's what happened: a drone —
267,930.12,932.44,2.32,0.00,1.20,1.12,1.000,19,a Ukrainian drone —
268,932.44,934.54,2.10,0.00,1.13,0.97,1.000,18,flew over a trench
269,934.54,937.86,3.32,0.00,2.14,1.18,1.000,34,and spotted some Russian soldiers.
270,937.86,942.72,4.86,0.00,2.02,2.84,1.000,32,Some of them fired at the drone.
271,942.72,946.12,3.40,0.00,2.33,1.07,1.000,37,"Not long after, a vehicle showed up —"
272,946.12,950.28,4.16,0.00,3.09,1.07,1.000,49,you can see it on the bottom right of the screen.
273,950.28,951.72,1.44,0.00,1.39,0.05,1.000,22,What was that vehicle?
274,951.72,953.76,2.04,0.00,1.45,0.59,1.000,23,It was actually a bomb.
275,953.76,956.96,3.20,0.00,3.40,-0.20,1.064,54,"A four-wheeled bomb — it drove right up to the trench,"
276,956.96,959.36,2.40,0.00,2.46,-0.06,1.025,39,intending to wipe them all out at once.
277,959.36,963.52,4.16,0.00,3.59,0.57,1.000,57,But the Russian soldiers saw it and raised a white flag —
278,963.52,965.12,1.60,0.00,1.26,0.34,1.000,20,signaling surrender.
279,965.12,970.00,4.88,0.00,3.72,1.16,1.000,59,"Then another vehicle, equipped with a machine gun, came up,"
280,970.00,971.48,1.48,0.00,0.88,0.60,1.000,14,"disarmed them,"
281,971.48,975.94,4.46,0.00,2.33,2.13,1.000,37,and escorted them back to a POW camp.
282,975.94,979.06,3.12,0.00,2.33,0.79,1.000,37,Can you believe that's even possible?
283,979.06,981.12,2.06,0.00,2.14,-0.08,1.041,34,"If you've been following the news,"
284,981.12,983.04,1.92,0.00,2.14,-0.22,1.116,34,"you know that in these four years,"
285,983.04,987.08,4.04,0.00,2.58,1.46,1.000,41,"Ukraine has become a military powerhouse,"
286,987.08,991.02,3.94,0.00,1.95,1.99,1.000,31,especially in unmanned systems:
287,991.02,998.12,7.10,0.00,5.93,1.17,1.000,94,"unmanned aircraft, unmanned ground vehicles, unmanned combat vehicles, unmanned naval vessels."
288,998.12,1000.76,2.64,0.00,3.15,-0.51,1.194,50,The unmanned vessels are particularly famous. Why?
289,1000.76,1003.60,2.84,0.00,3.22,-0.38,1.132,51,Because they've kept the Black Sea Fleet in check —
290,1003.60,1007.30,3.70,0.00,1.58,2.12,1.000,25,Russia's Black Sea Fleet.
291,1007.30,1013.06,5.76,0.00,2.58,3.18,1.000,41,"When controlling these unmanned machines,"
292,1013.06,1015.80,2.74,0.00,3.28,-0.54,1.197,52,"they usually use what's called ""First Person View"" —"
293,1015.80,1019.02,3.22,0.00,1.83,1.39,1.000,29,"that is, first-person vision."
294,1019.02,1021.70,2.68,0.00,1.45,1.23,1.000,23,"What the aircraft sees,"
295,1021.70,1025.06,3.36,0.00,2.40,0.96,1.000,38,"what the camera sees, is what you see."
